StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,EmploymentStatus,PoliticalBelief,ExperienceChronicPain,OpiodsDeathsIncreasing,IsPlacebo,MC_DesireToLearn,MC_PortrayedHarm,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate,MC_Legal
11/28/2020 11:00,11/28/2020 13:18,,,FALSE,11/28/2020 13:18,FS_3L0VqTzzhZgEzUm,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,No,Strongly agree,,,,,,47560,73.181.16.53,,,CO,United States,US,11/28/2020 13:18,
11/28/2020 11:00,11/28/2020 11:10,,,FALSE,11/28/2020 11:10,FS_1LMvBCj45gXkbsN,,,,Female,,25-35,White/Caucasian,,Some college,Employed,Ind./Other,Yes,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,92469,108.254.224.255,,,TN,United States,US,11/28/2020 11:10,
11/28/2020 11:01,11/28/2020 11:12,,,FALSE,11/28/2020 11:12,FS_3L5XlgEFrORu5Ye,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,Yes,Strongly agree,Placebo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,10554,73.81.122.171,,,DE,United States,US,11/28/2020 11:12,
11/28/2020 11:03,11/28/2020 11:11,,,FALSE,11/28/2020 11:11,FS_3iUsdJ6Vn37wVQk,,,,Male,,25-35,White/Caucasian,,High school,Employed,Ind./Other,Yes,Somewhat agree,Treatment,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,93352,23.31.239.17,,,NJ,United States,US,11/28/2020 11:11,
11/28/2020 11:33,11/28/2020 11:47,,,FALSE,11/28/2020 11:47,FS_12SwXTg0fACDdaq,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Conservative,Yes,Somewhat agree,Treatment,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,67496,76.169.215.68,,,CA,United States,US,11/28/2020 11:47,
11/28/2020 11:37,11/28/2020 11:51,,,FALSE,11/28/2020 11:51,FS_6zNu5vhnrBQcmeR,,,,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Employed,Liberal,No,Strongly agree,,,,,,99178,73.147.12.248,,,WV,United States,US,11/28/2020 11:51,
11/28/2020 12:01,11/28/2020 12:08,,,FALSE,11/28/2020 12:08,FS_1mJzv5Gf2TRKh13,,,,Male,,25-35,Black or African Am.,,>=Bachelor's degree,Employed,Conservative,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,83344,50.231.89.132,,,GA,United States,US,11/28/2020 12:08,
11/28/2020 12:08,11/28/2020 12:25,,,FALSE,11/28/2020 12:25,FS_2ts57ljxE2r0tZ1,,,,Female,,25-35,Black or African Am.,,>=Bachelor's degree,Employed,Conservative,Yes,Strongly agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,34506,38.68.51.4,,,GA,United States,US,11/28/2020 12:25,
11/28/2020 14:06,11/28/2020 15:21,,,FALSE,11/28/2020 15:21,FS_2zUeTDYpgxAZHV9,,,,Male,,25-35,White/Caucasian,,Some college,Employed,Conservative,Yes,Neither agree nor disagree,,,,,,76380,73.169.158.253,,,WA,United States,US,11/28/2020 15:21,
11/28/2020 11:01,11/28/2020 11:10,,,FALSE,11/28/2020 11:10,FS_2EtyIQgbyYkfEYK,,,,Female,,35-45,White/Caucasian,,Some college,Employed,Liberal,Yes,Somewhat agree,Placebo,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,65671,184.61.239.25,,,MI,United States,US,11/28/2020 11:10,
