StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,Employed,PoliticalBelief,ChronicPain,OpiodsDeathsIncreasing,AssignmentGroup,MC_DesireToLearn,MC_PortrayedHarm,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate,MC_Legal
11/28/2020 11:00,11/28/2020 11:05,100,320,TRUE,11/28/2020 11:05,R_1ltXe8sYWi5unYP,26.69320679,-81.91290283,0.3,Male,,25-35,White/Caucasian,,High school,Yes,Conservative,0,Neither agree nor disagree,Treatment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,24912,56-4e-1d-a5-41-1a-7d-9f-56-48-dd-5b-71-93-a3-9b,33901,Fort Myers,FL,United States,US,2020-11-28T11:05:33-07:00,Legal
11/28/2020 11:03,11/28/2020 11:07,100,201,TRUE,11/28/2020 11:07,R_3MPEFlTXmTxsDPu,33.89920044,-84.85720062,0.9,Female,,25-35,White/Caucasian,,High school,Yes,Liberal,1,Neither agree nor disagree,Treatment,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,94088,71-a-1f-e7-10-6c-99-a6-81-b3-92-fe-c4-cf-3e-e2,30157,Dallas,GA,United States,US,2020-11-28T11:07:04-07:00,Legal
11/28/2020 11:00,11/28/2020 11:09,100,559,TRUE,11/28/2020 11:09,R_3Jmh0iXf26MVQzu,41.14680481,-85.20670319,0.9,Female,,25-35,White/Caucasian,,Some college,Yes,Liberal,1,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,67154,a8-39-75-26-bf-a8-80-1b-45-3b-aa-3d-46-68-d0-1a,46845,Fort Wayne,IN,United States,US,2020-11-28T11:09:34-07:00,Legal
11/28/2020 11:01,11/28/2020 11:11,100,578,TRUE,11/28/2020 11:11,R_1PXJy0sWmnXac4j,33.58790588,-86.33840179,0.7,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Strongly agree,Placebo,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,46113,75-b3-5-fb-e9-71-6f-fa-6c-77-b3-ca-2a-71-f9-8f,35125,Pell City,AL,United States,US,2020-11-28T11:11:14-07:00,Legal
11/28/2020 10:59,11/28/2020 11:11,100,684,TRUE,11/28/2020 11:11,R_1rw7rWXcOf3In8J,34.05439758,-118.2440033,0.9,Female,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,41816,5e-a8-84-77-fc-ef-ee-db-48-a3-23-e9-bd-36-d6-28,90009,Los Angeles,CA,United States,US,2020-11-28T11:11:16-07:00,Legal
11/28/2020 11:09,11/28/2020 11:13,100,226,TRUE,11/28/2020 11:13,R_2YhLXXgz5B2uCGv,40.58850098,-75.46420288,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,0,Strongly agree,Treatment,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,53111,36-aa-6b-9d-2b-5-df-3e-eb-90-df-8a-c2-52-83-7e,18015,Bethlehem,PA,United States,US,2020-11-28T11:13:20-07:00,Legal
11/28/2020 11:08,11/28/2020 11:13,100,344,TRUE,11/28/2020 11:13,R_eS4PKbqMGMoKeDT,37.75100708,-97.8219986,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Liberal,1,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,15838,d4-85-a7-82-57-9a-3e-c7-3d-6-57-50-aa-88-b0-10,,,KS,United States,US,2020-11-28T11:13:51-07:00,Illegal
11/28/2020 11:05,11/28/2020 11:15,100,643,TRUE,11/28/2020 11:15,R_a4WiSVSWaI5HZXX,45.48170471,-122.4156036,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Conservative,1,Somewhat agree,Placebo,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,47499,d7-27-cb-ce-64-f6-f4-b2-c8-e3-ad-cc-ee-df-1e-10,48075,Southfield,MI,United States,US,2020-11-28T11:15:44-07:00,Legal
11/28/2020 11:06,11/28/2020 11:16,100,559,TRUE,11/28/2020 11:16,R_1hygoUYw6Pi27NG,40.92410278,-74.51399994,0.9,Male,,25-35,White/Caucasian,,>=Bachelor's degree,Yes,Ind./Other,0,Strongly agree,Treatment,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,40307,1b-51-30-44-44-8b-43-ab-77-45-92-91-a7-8f-8a-dc,7869,Randolph Township,NJ,United States,US,2020-11-28T11:16:15-07:00,Legal
11/28/2020 11:08,11/28/2020 11:18,100,628,TRUE,11/28/2020 11:18,R_8A2CCTVuT5zqV8t,36.98579407,-79.88279724,0.9,Male,,25-35,White/Caucasian,,Some college,Yes,Ind./Other,1,Strongly agree,Placebo,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,93795,ed-d1-22-fa-f1-81-d-c0-a0-92-f7-86-c3-a-fb-c2,24151,Rocky Mount,VA,United States,US,2020-11-28T11:18:44-07:00,Legal
