AgeGroup,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID1_Browser,QID1_Version,QID1_Operating System,QID1_Resolution,QID10,QID10_3_TEXT,QID9,QID9_6_TEXT,QID6,QID27,QID28,QID14,QID19,QID16,QID29,QID17,QID18,RandomId,IsPlacebo,RecipientAvgTimeToRespond,IP Address,Postal Code,City,Region,Country,CountryCode,SurveyLink,SurveySessionID,CurrentDate,Email,Language,ExternalDataReference
AgeGroup,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,What is your Gender? - Selected Choice,What is your Gender? - Other - Text,Please specify your ethnicity - Selected Choice,Please specify your ethnicity - Other - Text,What is the highest level of school you have completed or the highest degree you have received?,What is your Employment status?,"In general, how would you classify your political beliefs?",Do you experience chronic pain?,Deaths due to overdoses involving prescription opioids are increasing.,"Provide your response to the below statement.
Do you have a desire to learn about the benefits of medical cannabis for chronic pain?","Provide your response to the below statement.
Medical cannabis is generally portrayed as more harmful than it actually is.","Provide your response to the below statement.

There is a lot of misinformation about medical cannabis.","Provide your response to the below statement.
Medical cannabis is addictive.",RandomId,IsPlacebo,RecipientAvgTimeToRespond,IP Address,Postal Code,City,Region,Country,CountryCode,SurveyLink,SurveySessionID,CurrentDate,Email,Language,ExternalDataReference
AgeGroup,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",{"ImportId":"status"},{"ImportId":"ipAddress"},{"ImportId":"progress"},{"ImportId":"duration"},{"ImportId":"finished"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"_recordId"},{"ImportId":"recipientLastName"},{"ImportId":"recipientFirstName"},{"ImportId":"recipientEmail"},{"ImportId":"externalDataReference"},{"ImportId":"locationLatitude"},{"ImportId":"locationLongitude"},{"ImportId":"distributionChannel"},{"ImportId":"userLanguage"},{"ImportId":"Q_RecaptchaScore"},{"ImportId":"QID1_BROWSER"},{"ImportId":"QID1_VERSION"},{"ImportId":"QID1_OS"},{"ImportId":"QID1_RESOLUTION"},{"ImportId":"QID10"},{"ImportId":"QID10_3_TEXT"},{"ImportId":"QID9"},{"ImportId":"QID9_6_TEXT"},{"ImportId":"QID6"},{"ImportId":"QID27"},{"ImportId":"QID28"},{"ImportId":"QID14"},{"ImportId":"QID19"},{"ImportId":"QID16"},{"ImportId":"QID29"},{"ImportId":"QID17"},{"ImportId":"QID18"},{"ImportId":"RandomId"},{"ImportId":"IsPlacebo"},"{""ImportId"":""RecipientAvgTimeToRespond"",""timeZone"":""UTC""}",{"ImportId":"IP Address"},{"ImportId":"Postal Code"},{"ImportId":"City"},{"ImportId":"Region"},{"ImportId":"Country"},{"ImportId":"CountryCode"},{"ImportId":"SurveyLink"},{"ImportId":"SurveySessionID"},{"ImportId":"CurrentDate"},{"ImportId":"Email"},{"ImportId":"Language"},{"ImportId":"ExternalDataReference"}
25-35,11/28/2020 11:00,11/28/2020 11:05,IP Address,174.63.149.115,100,320,TRUE,11/28/2020 11:05,R_1ltXe8sYWi5unYP,,,,,26.69320679,-81.91290283,anonymous,EN,0.3,Firefox,83,Windows NT 10.0,1364x768,Male,,White/Caucasian,,High school,Employed,Conservative,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,24912,NO,,174.63.149.115,33901,Fort Myers,FL,United States,US,,,2020-11-28T11:05:33-07:00,,,
25-35,11/28/2020 11:03,11/28/2020 11:07,IP Address,172.1.175.92,100,201,TRUE,11/28/2020 11:07,R_3MPEFlTXmTxsDPu,,,,,33.89920044,-84.85720062,anonymous,EN,0.9,Firefox,83,Windows NT 10.0,1366x768,Female,,White/Caucasian,,High school,Employed,Liberal,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,94088,NO,,172.1.175.92,30157,Dallas,GA,United States,US,,,2020-11-28T11:07:04-07:00,,,
25-35,11/28/2020 11:00,11/28/2020 11:09,IP Address,50.121.87.198,100,559,TRUE,11/28/2020 11:09,R_3Jmh0iXf26MVQzu,,,,,41.14680481,-85.20670319,anonymous,EN,0.9,Chrome,87.0.4280.66,Windows NT 10.0,1920x1080,Female,,White/Caucasian,,Some college,Employed,Liberal,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,67154,YES,,50.121.87.198,46845,Fort Wayne,IN,United States,US,,,2020-11-28T11:09:34-07:00,,,
25-35,11/28/2020 11:01,11/28/2020 11:11,IP Address,144.163.88.120,100,578,TRUE,11/28/2020 11:11,R_1PXJy0sWmnXac4j,,,,,33.58790588,-86.33840179,anonymous,EN,0.7,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,Male,,White/Caucasian,,Bachelor's degree or higher,Employed,Conservative,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,46113,YES,,144.163.88.120,35125,Pell City,AL,United States,US,,,2020-11-28T11:11:14-07:00,,,
25-35,11/28/2020 10:59,11/28/2020 11:11,IP Address,196.17.65.4,100,684,TRUE,11/28/2020 11:11,R_1rw7rWXcOf3In8J,,,,,34.05439758,-118.2440033,anonymous,EN,0.9,Chrome,87.0.4280.66,Windows NT 10.0,1366x768,Female,,White/Caucasian,,Bachelor's degree or higher,Employed,Liberal,Yes,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,41816,YES,,196.17.65.4,90009,Los Angeles,CA,United States,US,,,2020-11-28T11:11:16-07:00,,,
25-35,11/28/2020 11:09,11/28/2020 11:13,IP Address,64.121.102.112,100,226,TRUE,11/28/2020 11:13,R_2YhLXXgz5B2uCGv,,,,,40.58850098,-75.46420288,anonymous,EN,0.9,Safari iPhone,14,iPhone,414x736,Male,,White/Caucasian,,Bachelor's degree or higher,Employed,Liberal,No,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,53111,NO,,64.121.102.112,18015,Bethlehem,PA,United States,US,,,2020-11-28T11:13:20-07:00,,,
25-35,11/28/2020 11:08,11/28/2020 11:13,IP Address,68.168.211.40,100,344,TRUE,11/28/2020 11:13,R_eS4PKbqMGMoKeDT,,,,,37.75100708,-97.8219986,anonymous,EN,0.9,Chrome,86.0.4240.198,Windows NT 10.0,1366x768,Male,,White/Caucasian,,Bachelor's degree or higher,Employed,Liberal,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,15838,YES,,68.168.211.40,,,,United States,US,,,2020-11-28T11:13:51-07:00,,,
25-35,11/28/2020 11:05,11/28/2020 11:15,IP Address,198.228.139.61,100,643,TRUE,11/28/2020 11:15,R_a4WiSVSWaI5HZXX,,,,,45.48170471,-122.4156036,anonymous,EN,0.9,Chrome,86.0.4240.198,Windows NT 6.3,1360x768,Male,,White/Caucasian,,Bachelor's degree or higher,Employed,Conservative,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,47499,YES,,198.228.139.61,48075,Southfield,MI,United States,US,,,2020-11-28T11:15:44-07:00,,,
