StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Gender,Gender-Other,AgeGroup,Ethnicity,Ethnicity-Other,Education,EmploymentStatus,PoliticalAffiliation,PoliticalAffiliation-Other,ExperienceChronicPain,OpiodsDeathsIncreasing,AssignmentGroup,MC_DesireToLearn,MC_MisInfo,MC_Addictive,RandomId,IPAddress,Postal Code,City,Region,Country,CountryCode,CurrentDate
11/6/2020 16:01,11/6/2020 16:05,100,270,TRUE,11/6/2020 16:05,R_A1h5TBMES8VRV8R,40.15510559,-76.60209656,0.9,Male,,25-30,White,,High school,Employed,Republican,,Yes,Somewhat agree,Placebo,Neither agree nor disagree,Somewhat agree,Somewhat agree,5027,73.230.6.45,17022,Elizabethtown,PA,United States,US,2020-11-06T16:05:30-07:00
11/6/2020 15:59,11/6/2020 16:09,100,566,TRUE,11/6/2020 16:09,R_1g2pTyCxu45sK8z,40.41020203,-104.7584,0.9,Female,,25-30,White,,Some college,Not Employed,Democrat,,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Neither agree nor disagree,9961,67.176.76.48,80634,Greeley,CO,United States,US,2020-11-06T16:09:10-07:00
11/6/2020 16:00,11/6/2020 16:09,100,507,TRUE,11/6/2020 16:09,R_21vy7Z6T8FxYbAu,29.82029724,-95.42559814,0.9,Female,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Somewhat agree,Treatment,Somewhat agree,Somewhat agree,Strongly agree,8525,76.208.36.124,77018,Houston,TX,United States,US,2020-11-06T16:09:17-07:00
11/6/2020 16:07,11/6/2020 16:16,100,554,TRUE,11/6/2020 16:16,R_3JJmf9LnLkb2jUs,37.75100708,-97.8219986,0.9,Male,,25-30,White,,Some college,Employed,Democrat,,Yes,Somewhat agree,Treatment,Somewhat agree,Somewhat agree,Neither agree nor disagree,7902,162.246.19.131,,,,United States,US,2020-11-06T16:16:41-07:00
11/6/2020 16:07,11/6/2020 16:18,100,654,TRUE,11/6/2020 16:18,R_2qBJ2ZWtF2PTxrg,39.93609619,-75.26249695,0.9,Male,,25-30,Asian,,Bachelor's degree or higher,Employed,Independent,,Yes,Strongly agree,Treatment,Somewhat agree,Strongly agree,Strongly agree,2320,173.62.251.151,19050,Lansdowne,PA,United States,US,2020-11-06T16:18:20-07:00
11/6/2020 16:03,11/6/2020 16:25,100,1301,TRUE,11/6/2020 16:25,R_1jCy4subrSsWvYm,39.61239624,-104.8804016,0.9,Male,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,Yes,Somewhat agree,Treatment,Somewhat agree,Strongly agree,Neither agree nor disagree,3097,96.9.209.13,80111,Denver,CO,United States,US,2020-11-06T16:25:26-07:00
11/6/2020 16:22,11/6/2020 16:29,100,402,TRUE,11/6/2020 16:29,R_2SibeEjM7BYHUPX,34.10040283,-118.2946014,0.9,Male,,25-30,Hispanic/Latino,,Bachelor's degree or higher,Employed,Democrat,,Yes,Strongly agree,Placebo,Strongly agree,Strongly agree,Somewhat disagree,9349,69.235.0.51,90027,Los Angeles,CA,United States,US,2020-11-06T16:29:08-07:00
11/6/2020 16:22,11/6/2020 16:32,100,599,TRUE,11/6/2020 16:32,R_9ZBRV00EfelvR9n,38.64379883,-77.3451004,0.9,Male,,25-30,White,,Some college,Employed,Democrat,,Yes,Somewhat agree,Placebo,Strongly agree,Somewhat agree,Somewhat agree,6289,96.255.134.91,22193,Woodbridge,VA,United States,US,2020-11-06T16:32:54-07:00
11/6/2020 16:25,11/6/2020 16:35,100,553,TRUE,11/6/2020 16:35,R_2s1PIRy4Vd2rtjo,38.64379883,-77.3451004,0.9,Male,,25-30,White,,Some college,Employed,Democrat,,Yes,Strongly agree,Treatment,Somewhat agree,Somewhat agree,Somewhat agree,8920,96.255.134.91,22193,Woodbridge,VA,United States,US,2020-11-06T16:35:03-07:00
11/6/2020 16:29,11/6/2020 16:42,100,740,TRUE,11/6/2020 16:42,R_3EEzzDmBDV4FOBe,43.06419373,-74.33399963,0.9,Male,,25-30,White,,Bachelor's degree or higher,Employed,Democrat,,No,Neither agree nor disagree,Placebo,Somewhat disagree,Somewhat disagree,Somewhat agree,1407,67.247.68.1,12078,Gloversville,NY,United States,US,2020-11-06T16:42:15-07:00
